2008-09-03,1,84,NR,Other,NR,NR,400
2008-09-04,1,85.5,NR,Other,NR,NR,400
2008-09-05,1,86,NR,Other,NR,NR,400
2008-09-07,1,88,NR,Other,NR,NR,400
2008-09-08,1,91,NR,Other,NR,NR,400
2008-09-09,1,38,NR,Other,NR,NR,275
2008-09-10,1,119,NR,Other,NR,NR,380
2008-09-11,1,107.5,NR,Other,NR,NR,380
2008-09-12,1,95,NR,Other,NR,NR,380
2008-09-28,1,88,NR,Other,NR,NR,380
2008-09-29,1,89.5,NR,Other,NR,NR,380
2008-09-30,1,91,NR,Other,NR,NR,380
2013-11-01,1,220,NR,Desi,1250,1400,1350
2013-11-02,1,190,NR,Desi,1250,1400,1350
2013-11-03,1,22,NR,Desi,1200,1400,1300
2013-11-04,1,200,NR,Desi,1200,1450,1325
2013-11-05,1,180,NR,Desi,1200,1450,1360
2013-11-06,1,160,NR,Desi,1250,1450,1375
2013-11-07,1,165,NR,Desi,1300,1500,1400
2013-11-08,1,150,NR,Desi,1400,1600,1500
2013-11-09,1,157,NR,Desi,1400,1600,1500
2013-11-10,1,144,NR,Desi,1400,1650,1550
2013-11-11,1,150,NR,Desi,1450,1650,1550
2013-11-12,1,158,NR,Desi,1450,1650,1550
2013-11-13,1,200,NR,Desi,1400,1600,1500
2013-11-14,1,220,NR,Desi,1350,1550,1450
2013-11-15,1,210,NR,Desi,1400,1600,1500
2013-11-16,1,200,NR,Desi,1400,1600,1500
2013-11-17,1,180,NR,Desi,1400,1600,1500
2013-11-18,1,175,NR,Desi,1400,1650,1550
2013-11-19,1,180,NR,Desi,1400,1600,1560
2013-11-20,1,235,NR,Desi,1400,1600,1500
2013-11-23,1,250,NR,Desi,1300,1500,1400
2013-11-24,1,300,NR,Desi,1200,1400,1300
2013-11-25,1,320,NR,Desi,1200,1400,1300
2013-11-26,1,340,NR,Desi,1200,1400,1300
2013-11-27,1,370,NR,Desi,1200,1400,1300
2013-11-28,1,350,NR,Desi,1200,1400,1300
2013-11-29,1,370,NR,Desi,1280,1400,1300
2008-03-01,1,122.5,NR,Other,NR,NR,350
2008-03-02,1,124,NR,Other,NR,NR,350
2008-03-03,1,129.5,NR,Other,NR,NR,350
2008-03-04,1,137,NR,Other,NR,NR,380
2008-03-05,1,124,NR,Other,NR,NR,400
2008-03-06,1,121.5,NR,Other,NR,NR,450
2008-03-07,1,122,NR,Other,NR,NR,450
2008-03-08,1,116.5,NR,Other,NR,NR,450
2008-03-09,1,114,NR,Other,NR,NR,450
2008-03-10,1,118,NR,Other,NR,NR,450
2008-03-11,1,116,NR,Other,NR,NR,450
2008-03-12,1,114.5,NR,Other,NR,NR,450
2008-03-13,1,110,NR,Other,NR,NR,450
2008-03-14,1,109.5,NR,Other,NR,NR,450
2008-03-15,1,108,NR,Other,NR,NR,450
2008-03-16,1,103,NR,Other,NR,NR,450
