Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/12/2014,65,Desi,NR,NR,1600,
,02/12/2014,80,Desi,1450,1650,1550,
,03/12/2014,50,Desi,NR,NR,1600,
,04/12/2014,95,Desi,NR,NR,1240,
,05/12/2014,100,Desi,NR,NR,1200,
,06/12/2014,80,Desi,NR,NR,1250,
,08/12/2014,120,Desi,NR,NR,1150,
,09/12/2014,75,Desi,950,1450,1200,
,10/12/2014,60,Desi,NR,NR,1240,
,11/12/2014,100,Desi,NR,NR,1150,
,12/12/2014,120,Desi,NR,NR,950,
,13/12/2014,80,Desi,NR,NR,1000,
,15/12/2014,70,Desi,NR,NR,1100,
,16/12/2014,80,Desi,NR,NR,950,
,17/12/2014,85,Desi,NR,NR,900,
,18/12/2014,100,Desi,NR,NR,800,
,20/12/2014,80,Desi,NR,NR,725,
,22/12/2014,125,Desi,600,750,675,
,23/12/2014,150,Desi,600,750,650,
,24/12/2014,100,Desi,600,775,680,
,25/12/2014,135,Desi,600,685,625,
,26/12/2014,85,Desi,600,700,650,
,29/12/2014,100,Desi,NR,NR,600,
,31/12/2014,70,Desi,600,750,680,
Achnera,30/12/2014,420,Desi,650,750,700,
Agra,02/12/2014,1250,Local,NR,NR,1320,
,03/12/2014,1280,Local,NR,NR,1310,
,04/12/2014,1260,Desi,1280,1400,1350,
,05/12/2014,1360,Desi,1170,1300,1240,
,06/12/2014,1400,Desi,900,1050,1000,
,08/12/2014,1450,Local,NR,NR,1060,
,09/12/2014,1480,Desi,800,950,900,
,10/12/2014,1500,Local,NR,NR,900,
,12/12/2014,1550,Desi,NR,NR,800,
,15/12/2014,1330,Local,NR,NR,820,
,16/12/2014,1420,Desi,NR,NR,840,
,17/12/2014,1520,Desi,670,800,700,
,18/12/2014,1430,Desi,700,800,725,
,19/12/2014,330,Desi,1600,1800,1680,
,20/12/2014,1450,Desi,650,800,780,
,22/12/2014,1500,Desi,700,840,750,
,23/12/2014,1520,Local,700,800,740,
,24/12/2014,1500,Desi,700,800,750,
,26/12/2014,1650,Desi,650,850,700,
,27/12/2014,1560,Desi,670,860,730,
,29/12/2014,1600,Desi,650,775,700,
,30/12/2014,1640,Desi,600,700,650,
,31/12/2014,1580,Desi,650,750,705,
Ahirora,29/12/2014,30,Other,NR,NR,780,
Ajuha,01/12/2014,132.5,Desi,NR,NR,1750,
,08/12/2014,158.5,Desi,NR,NR,1480,
,11/12/2014,162,Desi,NR,NR,1365,
,15/12/2014,178,Desi,NR,NR,1045,
,18/12/2014,165,Desi,NR,NR,840,
,25/12/2014,165,Desi,NR,NR,700,
,29/12/2014,175,Desi,NR,NR,640,
Akbarpur,01/12/2014,117,Other,1600,1750,1700,
,02/12/2014,139,Other,1350,1450,1400,
,03/12/2014,112,Other,1350,1450,1400,
,04/12/2014,105.4,Other,1350,1400,1380,
,05/12/2014,9,Other,1300,1400,1350,
,06/12/2014,69,Other,1250,1350,1300,
,08/12/2014,97,Other,1200,1300,1250,
,09/12/2014,55,Other,1250,1350,1300,
,10/12/2014,87,Other,1150,1250,1200,
,11/12/2014,91,Other,1050,1120,1100,
,12/12/2014,87,Other,1000,1080,1050,
,13/12/2014,99,Other,950,1050,1000,
,14/12/2014,99,Other,950,1000,980,
,15/12/2014,57,Other,900,1000,950,
,16/12/2014,55,Other,850,950,900,
,17/12/2014,96,Other,800,900,850,
,18/12/2014,96,Other,800,900,850,
,19/12/2014,78,Other,750,850,800,
,20/12/2014,78,Other,750,850,800,
,21/12/2014,78,Other,700,770,750,
,22/12/2014,55,Other,670,750,700,
,23/12/2014,35,Other,650,750,700,
,24/12/2014,84,Other,700,750,725,
,25/12/2014,77,Other,650,750,725,
,26/12/2014,78,Other,650,750,700,
,27/12/2014,85,Other,650,750,700,
,28/12/2014,79, ,NR,NR,NR,
,29/12/2014,45, ,NR,NR,NR,
,30/12/2014,54, ,NR,NR,NR,
Aliganj,29/12/2014,10,Local,780,820,800,
Aligarh,01/12/2014,340,Desi,1300,1400,1380,
,02/12/2014,270,Desi,1300,1400,1370,
,03/12/2014,390,Desi,1150,1280,1220,
,04/12/2014,400,Desi,1050,1140,1100,
,05/12/2014,350,Desi,950,1100,1050,
,06/12/2014,380,Desi,900,1000,940,
,08/12/2014,400,Desi,860,950,900,
,09/12/2014,390,Desi,880,930,900,
,10/12/2014,350,Desi,880,940,910,
,11/12/2014,370,Desi,880,930,900,
,12/12/2014,400,Desi,800,850,830,
,13/12/2014,350,Desi,750,820,790,
,15/12/2014,370,Desi,700,800,750,
,16/12/2014,400,Desi,700,760,720,
,17/12/2014,390,Desi,680,740,700,
,18/12/2014,320,Desi,680,730,710,
,19/12/2014,300,Desi,650,720,700,
,20/12/2014,330,Desi,620,700,680,
,22/12/2014,300,Desi,680,720,700,
,23/12/2014,290,Desi,680,740,710,
,24/12/2014,340,Desi,700,750,720,
,25/12/2014,360,Desi,680,750,710,
,26/12/2014,290,Desi,680,750,700,
,27/12/2014,350,Desi,650,700,680,
,29/12/2014,370,Desi,650,700,670,
,30/12/2014,400,Desi,620,700,660,
Allahabad,01/12/2014,320,Local,NR,NR,1650,
,02/12/2014,400,Local,NR,NR,1600,
,03/12/2014,500,Local,NR,NR,1500,
,04/12/2014,480,Local,NR,NR,1500,
,05/12/2014,550,Local,NR,NR,1350,
,06/12/2014,700,Local,NR,NR,1350,
,08/12/2014,740,Local,NR,NR,1200,
,09/12/2014,800,Local,NR,NR,1200,
,10/12/2014,750,Local,NR,NR,1200,
,11/12/2014,780,Local,NR,NR,1200,
,12/12/2014,950,Local,NR,NR,900,
,13/12/2014,800,Local,NR,NR,900,
,15/12/2014,600,Local,NR,NR,900,
,16/12/2014,1000,Local,NR,NR,850,
,17/12/2014,1200,Local,NR,NR,800,
,18/12/2014,1150,Local,NR,NR,800,
,19/12/2014,1300,Local,NR,NR,780,
,20/12/2014,1350,Local,NR,NR,780,
,22/12/2014,1450,Local,NR,NR,650,
,24/12/2014,1300,Local,NR,NR,680,
,26/12/2014,1400,Local,NR,NR,680,
,27/12/2014,1500,Local,NR,NR,660,
,29/12/2014,1450,Local,NR,NR,665,
,30/12/2014,1300,Local,NR,NR,665,
,31/12/2014,1550,Local,NR,NR,665,
Amroha,29/12/2014,40,F.A.Q.,NR,NR,540,
Anandnagar,01/12/2014,30,Potato,1750,1900,1825,
,02/12/2014,40,Potato,1750,1950,1850,
,03/12/2014,40,Potato,1450,1700,1600,
,04/12/2014,35,Potato,1250,1450,1350,
,05/12/2014,40,Potato,1200,1400,1350,
,06/12/2014,40,Potato,1200,1450,1300,
,09/12/2014,40,Potato,1150,1350,1250,
,11/12/2014,40,Potato,1100,1200,1150,
,12/12/2014,30,Potato,950,1100,1000,
,16/12/2014,45,Potato,850,950,900,
,17/12/2014,30,Other,800,900,875,
,18/12/2014,50,Potato,800,950,890,
,20/12/2014,40,Potato,800,950,850,
,21/12/2014,30,Potato,800,950,870,
,23/12/2014,35,Potato,800,950,880,
,24/12/2014,40,Potato,800,950,900,
,25/12/2014,30,Potato,800,960,890,
,27/12/2014,30,Potato,800,950,890,
,28/12/2014,30,Potato,800,950,890,
,31/12/2014,40,Potato,800,950,850,
Anoop Shahar,16/12/2014,134,F.A.Q.,840,880,860,
,29/12/2014,205,F.A.Q.,725,775,750,
Anwala,31/12/2014,3880,F.A.Q.,NR,NR,625,
Atarra,01/12/2014,12.5,Other,1850,2150,2025,
,02/12/2014,14,Other,1650,1900,1800,
,03/12/2014,12.5,Other,1650,1850,1780,
,04/12/2014,13.5,Other,1650,1840,1760,
,06/12/2014,14,Other,1475,1600,1550,
,07/12/2014,15,Other,1400,1500,1450,
,08/12/2014,16,Other,1350,1500,1450,
,09/12/2014,17.5,Other,1370,1450,1425,
,10/12/2014,19,Other,1350,1450,1400,
