Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/03/2014,15,Desi,700,800,750,
,03/03/2014,26.5,Desi,700,780,735,
,04/03/2014,20,Desi,750,800,775,
,05/03/2014,16.5,Desi,750,850,800,
,06/03/2014,28.5,Desi,740,800,770,
,07/03/2014,20,Desi,750,850,800,
,08/03/2014,14,Desi,800,850,825,
,10/03/2014,25.5,Desi,750,820,780,
,11/03/2014,18.5,Desi,750,850,800,
,12/03/2014,15,Desi,800,840,820,
,13/03/2014,23.5,Desi,760,825,795,
,14/03/2014,39,Desi,700,800,750,
,15/03/2014,30,Desi,780,850,810,
,18/03/2014,40,Desi,740,820,780,
,19/03/2014,25,Desi,800,850,820,
,21/03/2014,27,Desi,750,850,800,
,22/03/2014,39.5,Desi,750,820,780,
,24/03/2014,30,Desi,780,860,810,
,25/03/2014,25,Desi,800,850,825,
,26/03/2014,20,Desi,840,900,865,
,27/03/2014,36.5,Desi,800,880,840,
,28/03/2014,28.5,Desi,850,925,890,
,29/03/2014,22,Desi,900,960,930,
,31/03/2014,39.5,Desi,850,950,900,
Achnera,31/03/2014,450,F.A.Q.,800,850,820,
Agra,03/03/2014,2820,Potato,NR,NR,710,
,04/03/2014,2620,Potato,NR,NR,780,
,05/03/2014,2640,Potato,NR,NR,775,
,06/03/2014,2620,Potato,NR,NR,780,
,07/03/2014,3900,Other,NR,NR,770,
,10/03/2014,2660,Other,NR,NR,780,
,11/03/2014,2800,Other,NR,NR,770,
,12/03/2014,2940,Other,NR,NR,765,
,13/03/2014,2730,Other,750,810,790,
,14/03/2014,26800,Other,780,820,800,
,15/03/2014,2620,Potato,NR,NR,810,
,19/03/2014,2600,Potato,NR,NR,850,
,20/03/2014,2550,Potato,NR,NR,860,
,21/03/2014,2650,Potato,NR,NR,850,
,22/03/2014,2700,Potato,NR,NR,840,
,24/03/2014,2450,Potato,860,890,875,
,25/03/2014,2640,Potato,NR,NR,870,
,26/03/2014,2420,Potato,NR,NR,880,
,27/03/2014,2350,Potato,NR,NR,910,
,28/03/2014,2300,Potato,NR,NR,920,
Ahirora,25/03/2014,35,Other,NR,NR,1050,
,29/03/2014,40,Other,NR,NR,1060,
Ajuha,03/03/2014,166.5,Other,NR,NR,670,
,06/03/2014,174,Other,NR,NR,655,
,10/03/2014,136,Other,NR,NR,785,
,13/03/2014,113.5,Other,NR,NR,820,
,20/03/2014,112.5,Other,NR,NR,865,
,24/03/2014,104,Other,NR,NR,900,
,27/03/2014,126,Other,NR,NR,975,
,31/03/2014,106.5,Other,NR,NR,975,
Akbarpur,01/03/2014,65,Other,750,800,780,
,02/03/2014,75,Other,750,800,780,
,03/03/2014,67,Other,750,800,780,
,04/03/2014,32,Other,830,870,850,
,05/03/2014,57,Other,830,860,850,
,06/03/2014,65,Other,850,900,875,
,07/03/2014,55,Other,850,900,875,
,08/03/2014,58,Other,870,900,875,
,09/03/2014,59,Other,850,900,875,
,10/03/2014,54,Other,880,950,900,
,11/03/2014,45,Other,910,950,925,
,12/03/2014,55,Other,930,970,940,
,13/03/2014,55,Other,930,975,950,
,14/03/2014,55,Other,970,1000,980,
,15/03/2014,75,Other,980,1050,1000,
,16/03/2014,59,Other,1000,1020,1010,
,18/03/2014,35,Other,1000,1020,1010,
,19/03/2014,77,Other,980,1010,1000,
,20/03/2014,57,Other,980,1020,1000,
,21/03/2014,88,Other,980,1020,1000,
,22/03/2014,55,Other,1000,1020,1010,
,23/03/2014,56,Other,1000,1050,1020,
,24/03/2014,57,Other,1000,1050,1020,
,25/03/2014,55,Other,1030,1050,1040,
,26/03/2014,57,Other,1040,1100,1050,
,27/03/2014,55,Other,1080,1120,1100,
,28/03/2014,65,Other,1110,1150,1125,
,29/03/2014,55,Other,1130,1250,1200,
Aliganj,27/03/2014,20,Local,750,790,760,
Aligarh,01/03/2014,190,Desi,700,780,750,
,03/03/2014,200,Desi,700,780,740,
,04/03/2014,190,Desi,700,780,750,
,05/03/2014,190,Desi,720,780,770,
,06/03/2014,180,Desi,750,800,775,
,07/03/2014,190,Desi,750,800,780,
,08/03/2014,240,Desi,750,800,775,
,10/03/2014,300,Desi,750,800,770,
,11/03/2014,300,Desi,765,810,775,
,12/03/2014,350,Desi,700,800,770,
,13/03/2014,370,Desi,700,800,775,
,14/03/2014,300,Desi,690,800,770,
,15/03/2014,370,Desi,750,800,780,
,19/03/2014,320,Desi,750,800,775,
,20/03/2014,340,Desi,760,805,780,
,21/03/2014,300,Desi,800,900,850,
,22/03/2014,290,Desi,850,900,880,
,24/03/2014,300,Desi,850,900,875,
,25/03/2014,290,Desi,850,950,910,
,26/03/2014,280,Desi,850,950,920,
,27/03/2014,280,Desi,865,960,925,
,28/03/2014,340,Desi,850,950,920,
,29/03/2014,360,Desi,900,950,925,
Allahabad,01/03/2014,100,Desi,NR,NR,700,
,03/03/2014,1050,Desi,NR,NR,725,
,04/03/2014,700,Desi,NR,NR,800,
,05/03/2014,705,Desi,NR,NR,815,
,06/03/2014,750,Desi,NR,NR,850,
,07/03/2014,800,Desi,NR,NR,850,
,10/03/2014,850,Desi,NR,NR,875,
,11/03/2014,900,Desi,NR,NR,900,
,12/03/2014,950,Desi,NR,NR,910,
,13/03/2014,1400,Desi,NR,NR,910,
,14/03/2014,1250,Desi,NR,NR,925,
,15/03/2014,600,Desi,NR,NR,925,
,18/03/2014,800,Desi,NR,NR,930,
,19/03/2014,700,Desi,NR,NR,930,
,20/03/2014,650,Desi,NR,NR,930,
,21/03/2014,580,Desi,NR,NR,930,
,22/03/2014,460,Desi,NR,NR,940,
,24/03/2014,400,Desi,NR,NR,1000,
,25/03/2014,360,Desi,NR,NR,1000,
,26/03/2014,390,Desi,NR,NR,1000,
,27/03/2014,250,Desi,NR,NR,1050,
,28/03/2014,300,Desi,NR,NR,1050,
,29/03/2014,280,Desi,NR,NR,1050,
,31/03/2014,180,Desi,NR,NR,1050,
Amroha,28/03/2014,1350,Other,NR,NR,860,
Anwala,29/03/2014,1345,Desi,NR,NR,900,
Atarra,01/03/2014,21.5,Other,NR,NR,675,
,02/03/2014,18,Other,NR,NR,675,
,03/03/2014,16.5,Other,NR,NR,725,
,04/03/2014,14,Other,NR,NR,750,
,05/03/2014,16,Other,NR,NR,750,
,06/03/2014,14.5,Other,NR,NR,775,
,08/03/2014,14,Other,NR,NR,785,
,09/03/2014,13.5,Other,NR,NR,785,
,10/03/2014,14.5,Other,NR,NR,790,
,11/03/2014,13,Other,NR,NR,810,
,12/03/2014,14.5,Other,NR,NR,800,
,13/03/2014,16,Other,NR,NR,790,
,15/03/2014,19.5,Other,NR,NR,800,
,16/03/2014,17.5,Other,NR,NR,800,
,19/03/2014,16.5,Other,NR,NR,790,
,20/03/2014,14,Other,NR,NR,810,
,22/03/2014,12.5,Other,NR,NR,800,
,23/03/2014,11,Other,NR,NR,850,
,24/03/2014,11.5,Other,NR,NR,900,
,25/03/2014,12.5,Other,NR,NR,925,
,26/03/2014,11,Other,NR,NR,950,
,27/03/2014,12.5,Other,NR,NR,940,
,29/03/2014,14.5,Other,NR,NR,960,
,30/03/2014,15,Other,NR,NR,960,
,31/03/2014,16,Other,NR,NR,950,
Auraiya,01/03/2014,300,Desi,650,700,680,
,03/03/2014,350,Desi,650,700,670,
,04/03/2014,380,Desi,650,700,670,
,05/03/2014,320,Desi,650,720,700,
,06/03/2014,300,Desi,680,750,700,
,07/03/2014,250,Desi,700,760,750,
,08/03/2014,350,Desi,720,800,760,
,10/03/2014,365,Desi,750,800,760,
,11/03/2014,280,Desi,780,825,800,
,12/03/2014,300,Desi,850,900,880,
,13/03/2014,320,Desi,850,925,900,
,14/03/2014,320,Desi,880,970,960,
,15/03/2014,270,Desi,880,950,925,
,19/03/2014,350,Desi,840,925,850,
,20/03/2014,320,Desi,780,850,830,
,21/03/2014,360,Desi,850,925,900,
,22/03/2014,310,Desi,860,925,900,
,24/03/2014,300,Desi,900,960,950,
,25/03/2014,320,Desi,900,960,945,
,26/03/2014,295,Desi,900,970,950,
,27/03/2014,320,Desi,900,960,950,
,28/03/2014,350,Desi,880,950,940,
,29/03/2014,300,Desi,850,925,900,
,31/03/2014,280,Desi,880,925,900,
Awagarh,29/03/2014,28,Local,800,840,820,
Azamgarh,01/03/2014,150,Other,700,720,710,
,03/03/2014,120,Other,740,760,750,
,06/03/2014,190,Other,840,860,850,
,07/03/2014,170,Other,865,885,875,
,10/03/2014,190,Other,890,910,900,
,11/03/2014,180,Other,900,930,910,
,12/03/2014,200,Other,890,910,900,
,13/03/2014,150,Other,900,930,915,
,14/03/2014,180,Other,900,950,925,
,15/03/2014,180,Other,925,945,935,
,18/03/2014,180,Other,940,960,950,
,19/03/2014,140,Other,960,980,970,
,20/03/2014,150,Other,965,985,975,
,21/03/2014,160,Other,970,990,980,
,22/03/2014,160,Other,980,1000,990,
,24/03/2014,1000, ,NR,NR,NR,
,25/03/2014,200,Other,990,1010,1000,
,26/03/2014,140,Other,970,990,980,
,27/03/2014,110,Other,1040,1060,1050,
,28/03/2014,100, ,NR,NR,NR,
,31/03/2014,180,Other,1070,1090,1080,
Baberu,01/03/2014,3.5,Other,NR,NR,700,
,02/03/2014,2,Other,NR,NR,750,
,03/03/2014,3,Other,NR,NR,780,
,04/03/2014,6,Other,NR,NR,780,
,06/03/2014,4,Other,NR,NR,770,
,07/03/2014,3,Other,NR,NR,770,
,08/03/2014,4,Other,NR,NR,780,
,09/03/2014,5,Other,NR,NR,780,
,10/03/2014,4,Other,NR,NR,780,
,11/03/2014,6,Other,NR,NR,780,
,13/03/2014,10,Other,NR,NR,800,
,14/03/2014,8,Other,NR,NR,800,
,15/03/2014,15,Other,NR,NR,800,
,20/03/2014,10,Other,NR,NR,800,
,21/03/2014,7,Other,NR,NR,800,
,22/03/2014,5,Other,NR,NR,800,
,23/03/2014,6,Other,NR,NR,800,
,24/03/2014,8,Other,NR,NR,800,
,25/03/2014,6,Other,NR,NR,850,
,27/03/2014,8,Other,NR,NR,850,
